No,지역,지역,지역,지역,2012년 1월,2012년 2월,2012년 3월,2012년 4월,2012년 5월,2012년 6월,2012년 7월,2012년 8월,2012년 9월,2012년 10월,2012년 11월,2012년 12월,2013년 1월,2013년 2월,2013년 3월,2013년 4월,2013년 5월,2013년 6월,2013년 7월,2013년 8월,2013년 9월,2013년 10월,2013년 11월,2013년 12월,2014년 1월,2014년 2월,2014년 3월,2014년 4월,2014년 5월,2014년 6월,2014년 7월,2014년 8월,2014년 9월,2014년 10월,2014년 11월,2014년 12월,2015년 1월,2015년 2월,2015년 3월,2015년 4월,2015년 5월,2015년 6월,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월
No,지역,지역,지역,지역,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격,가격
No,지역,지역,지역,지역,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡,원/㎡
1,전국,전국,전국,전국,"""3,224,000""","""3,220,000""","""3,214,000""","""3,206,000""","""3,197,000""","""3,181,000""","""3,163,000""","""3,142,000""","""3,125,000""","""3,111,000""","""3,100,000""","""3,078,000""","""3,063,000""","""3,055,000""","""3,051,000""","""3,048,000""","""3,056,000""","""3,055,000""","""3,049,000""","""3,042,000""","""3,046,000""","""3,060,000""","""3,068,000""","""3,074,000""","""3,104,000""","""3,114,000""","""3,127,000""","""3,130,000""","""3,131,000""","""3,132,000""","""3,133,000""","""3,139,000""","""3,153,000""","""3,166,000""","""3,174,000""","""3,179,000""","""3,170,000""","""3,181,000""","""3,196,000""","""3,219,000""","""3,238,000""","""3,258,000""","""3,399,000""","""3,413,000""","""3,430,000""","""3,448,000""","""3,458,000""","""3,467,000""","""3,468,000""","""3,465,000""","""3,463,000""","""3,464,000""","""3,467,000""","""3,469,000""","""3,474,000""","""3,480,000""","""3,481,000""","""3,494,000""","""3,504,000""","""3,506,000""","""3,506,000""","""3,508,000""","""3,513,000""","""3,518,000""","""3,525,000""","""3,540,000""","""3,549,000""","""3,563,000""","""3,566,000""","""3,572,000""","""3,579,000""","""3,933,000""","""3,960,000""","""3,989,000""","""4,003,000""","""4,008,000""","""4,007,000""","""4,004,000""","""4,004,000""","""4,012,000""","""4,047,000""","""4,062,000""","""4,064,000""","""4,058,000""","""4,340,000""","""4,326,000""","""4,310,000""","""4,292,000""","""4,280,000""","""4,272,000""","""4,270,000""","""4,270,000""","""4,275,000""","""4,291,000""","""4,313,000""","""4,358,000""","""4,585,000""","""4,609,000""","""4,650,000""","""4,666,000""","""4,670,000""","""4,697,000""","""4,752,000""","""4,791,000""","""4,824,000""","""4,843,000""","""4,881,000""","""4,943,000""","""5,000,000""","""5,071,000""","""5,125,000""","""5,176,000""","""5,227,000""","""5,317,000""","""6,070,000""","""6,154,000""","""6,229,000""","""6,301,000""","""6,346,000""","""6,361,000""","""6,361,000""","""6,355,000""","""6,346,000""","""6,340,000""","""6,331,000""","""6,320,000""","""6,302,000""","""6,260,000""","""6,201,000""","""6,110,000""","""5,966,000""","""5,766,000""","""5,616,000""","""5,519,000""","""5,460,000""","""5,429,000""","""5,426,000""","""5,435,000""","""5,451,000""","""5,477,000""","""5,507,000""","""5,530,000""","""5,535,000""","""5,527,000""","""5,569,000""","""5,556,000""","""5,548,000""","""5,548,000""","""5,552,000""","""5,569,000""","""5,606,930""","""5,653,907""","""5,685,881""","""5,701,534""","""5,709,288""","""5,708,810""","""5,704,043""","""5,708,952""","""5,736,159""","""5,818,630""","""5,837,213""","""5,890,052""","""5,929,986""","""5,947,104""","""5,969,678""","""6,029,988""","""6,069,931"""
2,수도권,수도권,수도권,수도권,"""4,387,000""","""4,376,000""","""4,360,000""","""4,340,000""","""4,321,000""","""4,291,000""","""4,261,000""","""4,223,000""","""4,191,000""","""4,162,000""","""4,140,000""","""4,093,000""","""4,065,000""","""4,048,000""","""4,040,000""","""4,029,000""","""4,040,000""","""4,035,000""","""4,019,000""","""4,005,000""","""4,009,000""","""4,030,000""","""4,038,000""","""4,042,000""","""4,078,000""","""4,093,000""","""4,114,000""","""4,116,000""","""4,113,000""","""4,112,000""","""4,113,000""","""4,120,000""","""4,142,000""","""4,161,000""","""4,169,000""","""4,173,000""","""4,158,000""","""4,174,000""","""4,198,000""","""4,232,000""","""4,261,000""","""4,291,000""","""4,452,000""","""4,475,000""","""4,500,000""","""4,528,000""","""4,540,000""","""4,555,000""","""4,556,000""","""4,549,000""","""4,549,000""","""4,552,000""","""4,560,000""","""4,567,000""","""4,579,000""","""4,593,000""","""4,590,000""","""4,614,000""","""4,631,000""","""4,634,000""","""4,634,000""","""4,637,000""","""4,649,000""","""4,659,000""","""4,673,000""","""4,706,000""","""4,724,000""","""4,751,000""","""4,757,000""","""4,770,000""","""4,787,000""","""5,303,000""","""5,363,000""","""5,425,000""","""5,458,000""","""5,472,000""","""5,478,000""","""5,480,000""","""5,485,000""","""5,514,000""","""5,589,000""","""5,622,000""","""5,628,000""","""5,621,000""","""6,097,000""","""6,073,000""","""6,049,000""","""6,022,000""","""6,005,000""","""5,996,000""","""5,999,000""","""6,006,000""","""6,020,000""","""6,052,000""","""6,092,000""","""6,172,000""","""6,562,000""","""6,600,000""","""6,671,000""","""6,699,000""","""6,707,000""","""6,743,000""","""6,826,000""","""6,876,000""","""6,913,000""","""6,930,000""","""6,967,000""","""7,023,000""","""7,095,000""","""7,202,000""","""7,283,000""","""7,363,000""","""7,439,000""","""7,580,000""","""8,878,000""","""9,016,000""","""9,142,000""","""9,256,000""","""9,326,000""","""9,352,000""","""9,350,000""","""9,340,000""","""9,325,000""","""9,318,000""","""9,303,000""","""9,289,000""","""9,261,000""","""9,200,000""","""9,108,000""","""8,966,000""","""8,739,000""","""8,422,000""","""8,192,000""","""8,049,000""","""7,966,000""","""7,926,000""","""7,932,000""","""7,955,000""","""7,991,000""","""8,042,000""","""8,099,000""","""8,139,000""","""8,151,000""","""8,138,000""","""8,163,000""","""8,147,000""","""8,139,000""","""8,145,000""","""8,157,000""","""8,199,000""","""8,284,387""","""8,384,291""","""8,451,414""","""8,485,897""","""8,505,516""","""8,510,811""","""8,507,381""","""8,522,583""","""8,585,753""","""8,689,031""","""8,732,760""","""8,846,887""","""8,932,695""","""8,968,670""","""9,015,099""","""9,138,810""","""9,216,172"""
3,지방권,지방권,지방권,지방권,"""2,057,000""","""2,060,000""","""2,065,000""","""2,068,000""","""2,069,000""","""2,066,000""","""2,062,000""","""2,058,000""","""2,056,000""","""2,057,000""","""2,058,000""","""2,057,000""","""2,056,000""","""2,055,000""","""2,056,000""","""2,062,000""","""2,067,000""","""2,071,000""","""2,075,000""","""2,076,000""","""2,078,000""","""2,086,000""","""2,093,000""","""2,101,000""","""2,125,000""","""2,131,000""","""2,136,000""","""2,141,000""","""2,144,000""","""2,147,000""","""2,152,000""","""2,155,000""","""2,161,000""","""2,168,000""","""2,176,000""","""2,183,000""","""2,190,000""","""2,196,000""","""2,204,000""","""2,216,000""","""2,224,000""","""2,234,000""","""2,389,000""","""2,395,000""","""2,403,000""","""2,412,000""","""2,421,000""","""2,424,000""","""2,425,000""","""2,424,000""","""2,422,000""","""2,421,000""","""2,419,000""","""2,416,000""","""2,413,000""","""2,412,000""","""2,428,000""","""2,431,000""","""2,434,000""","""2,435,000""","""2,436,000""","""2,435,000""","""2,435,000""","""2,434,000""","""2,434,000""","""2,434,000""","""2,434,000""","""2,435,000""","""2,435,000""","""2,434,000""","""2,432,000""","""2,634,000""","""2,630,000""","""2,627,000""","""2,624,000""","""2,620,000""","""2,613,000""","""2,605,000""","""2,599,000""","""2,589,000""","""2,585,000""","""2,583,000""","""2,581,000""","""2,576,000""","""2,688,000""","""2,682,000""","""2,675,000""","""2,666,000""","""2,658,000""","""2,650,000""","""2,643,000""","""2,638,000""","""2,634,000""","""2,634,000""","""2,639,000""","""2,651,000""","""2,726,000""","""2,736,000""","""2,748,000""","""2,753,000""","""2,754,000""","""2,773,000""","""2,800,000""","""2,830,000""","""2,858,000""","""2,879,000""","""2,918,000""","""2,986,000""","""3,030,000""","""3,066,000""","""3,094,000""","""3,118,000""","""3,145,000""","""3,188,000""","""3,533,000""","""3,566,000""","""3,596,000""","""3,630,000""","""3,653,000""","""3,658,000""","""3,659,000""","""3,657,000""","""3,653,000""","""3,649,000""","""3,644,000""","""3,637,000""","""3,627,000""","""3,604,000""","""3,573,000""","""3,529,000""","""3,460,000""","""3,366,000""","""3,291,000""","""3,236,000""","""3,199,000""","""3,176,000""","""3,165,000""","""3,160,000""","""3,159,000""","""3,162,000""","""3,169,000""","""3,174,000""","""3,175,000""","""3,171,000""","""3,217,000""","""3,208,000""","""3,200,000""","""3,194,000""","""3,190,000""","""3,185,000""","""3,179,977""","""3,178,980""","""3,179,093""","""3,177,678""","""3,174,677""","""3,168,966""","""3,162,987""","""3,158,567""","""3,153,175""","""3,214,957""","""3,210,728""","""3,207,974""","""3,206,298""","""3,206,312""","""3,207,246""","""3,210,048""","""3,216,048"""
4,6대광역시,6대광역시,6대광역시,6대광역시,"""2,400,000""","""2,399,000""","""2,401,000""","""2,401,000""","""2,399,000""","""2,392,000""","""2,383,000""","""2,373,000""","""2,368,000""","""2,364,000""","""2,363,000""","""2,363,000""","""2,359,000""","""2,354,000""","""2,352,000""","""2,359,000""","""2,365,000""","""2,369,000""","""2,374,000""","""2,374,000""","""2,377,000""","""2,388,000""","""2,398,000""","""2,407,000""","""2,444,000""","""2,452,000""","""2,460,000""","""2,466,000""","""2,470,000""","""2,473,000""","""2,478,000""","""2,482,000""","""2,490,000""","""2,498,000""","""2,506,000""","""2,514,000""","""2,524,000""","""2,532,000""","""2,543,000""","""2,562,000""","""2,577,000""","""2,594,000""","""2,799,000""","""2,809,000""","""2,821,000""","""2,835,000""","""2,848,000""","""2,854,000""","""2,854,000""","""2,854,000""","""2,853,000""","""2,853,000""","""2,854,000""","""2,854,000""","""2,855,000""","""2,858,000""","""2,880,000""","""2,888,000""","""2,898,000""","""2,902,000""","""2,904,000""","""2,906,000""","""2,907,000""","""2,908,000""","""2,911,000""","""2,914,000""","""2,917,000""","""2,926,000""","""2,931,000""","""2,935,000""","""2,938,000""","""3,211,000""","""3,212,000""","""3,212,000""","""3,213,000""","""3,212,000""","""3,210,000""","""3,205,000""","""3,201,000""","""3,193,000""","""3,194,000""","""3,201,000""","""3,205,000""","""3,207,000""","""3,316,000""","""3,312,000""","""3,307,000""","""3,300,000""","""3,295,000""","""3,290,000""","""3,286,000""","""3,284,000""","""3,287,000""","""3,293,000""","""3,306,000""","""3,329,000""","""3,471,000""","""3,488,000""","""3,525,000""","""3,543,000""","""3,553,000""","""3,580,000""","""3,606,000""","""3,631,000""","""3,665,000""","""3,695,000""","""3,750,000""","""3,840,000""","""3,904,000""","""3,967,000""","""4,021,000""","""4,069,000""","""4,120,000""","""4,199,000""","""4,675,000""","""4,733,000""","""4,784,000""","""4,835,000""","""4,867,000""","""4,877,000""","""4,874,000""","""4,867,000""","""4,856,000""","""4,846,000""","""4,831,000""","""4,817,000""","""4,799,000""","""4,760,000""","""4,705,000""","""4,629,000""","""4,508,000""","""4,351,000""","""4,243,000""","""4,160,000""","""4,100,000""","""4,068,000""","""4,053,000""","""4,050,000""","""4,051,000""","""4,058,000""","""4,069,000""","""4,077,000""","""4,074,000""","""4,066,000""","""4,128,000""","""4,117,000""","""4,108,000""","""4,103,000""","""4,100,000""","""4,095,000""","""4,091,826""","""4,096,681""","""4,100,061""","""4,098,809""","""4,094,462""","""4,084,590""","""4,074,827""","""4,067,091""","""4,057,954""","""4,141,891""","""4,133,151""","""4,127,258""","""4,122,591""","""4,121,268""","""4,120,465""","""4,123,434""","""4,130,686"""
5,5대광역시,5대광역시,5대광역시,5대광역시,"""2,315,000""","""2,315,000""","""2,319,000""","""2,320,000""","""2,321,000""","""2,317,000""","""2,309,000""","""2,301,000""","""2,299,000""","""2,299,000""","""2,301,000""","""2,304,000""","""2,304,000""","""2,303,000""","""2,303,000""","""2,310,000""","""2,317,000""","""2,322,000""","""2,328,000""","""2,330,000""","""2,333,000""","""2,341,000""","""2,350,000""","""2,360,000""","""2,391,000""","""2,398,000""","""2,404,000""","""2,410,000""","""2,414,000""","""2,417,000""","""2,422,000""","""2,427,000""","""2,434,000""","""2,442,000""","""2,450,000""","""2,459,000""","""2,468,000""","""2,476,000""","""2,487,000""","""2,505,000""","""2,519,000""","""2,536,000""","""2,764,000""","""2,774,000""","""2,786,000""","""2,801,000""","""2,815,000""","""2,821,000""","""2,820,000""","""2,820,000""","""2,819,000""","""2,818,000""","""2,818,000""","""2,817,000""","""2,817,000""","""2,819,000""","""2,840,000""","""2,849,000""","""2,859,000""","""2,864,000""","""2,866,000""","""2,868,000""","""2,869,000""","""2,870,000""","""2,872,000""","""2,875,000""","""2,878,000""","""2,886,000""","""2,890,000""","""2,893,000""","""2,895,000""","""3,169,000""","""3,169,000""","""3,169,000""","""3,169,000""","""3,169,000""","""3,167,000""","""3,161,000""","""3,157,000""","""3,151,000""","""3,152,000""","""3,160,000""","""3,164,000""","""3,164,000""","""3,274,000""","""3,270,000""","""3,265,000""","""3,256,000""","""3,250,000""","""3,245,000""","""3,240,000""","""3,239,000""","""3,240,000""","""3,247,000""","""3,260,000""","""3,284,000""","""3,402,000""","""3,417,000""","""3,429,000""","""3,434,000""","""3,436,000""","""3,458,000""","""3,483,000""","""3,512,000""","""3,552,000""","""3,587,000""","""3,652,000""","""3,756,000""","""3,822,000""","""3,880,000""","""3,923,000""","""3,956,000""","""3,994,000""","""4,055,000""","""4,542,000""","""4,586,000""","""4,622,000""","""4,659,000""","""4,682,000""","""4,688,000""","""4,684,000""","""4,676,000""","""4,665,000""","""4,655,000""","""4,642,000""","""4,629,000""","""4,612,000""","""4,579,000""","""4,530,000""","""4,466,000""","""4,363,000""","""4,233,000""","""4,130,000""","""4,045,000""","""3,982,000""","""3,943,000""","""3,922,000""","""3,913,000""","""3,908,000""","""3,911,000""","""3,920,000""","""3,925,000""","""3,923,000""","""3,916,000""","""3,976,000""","""3,964,000""","""3,953,000""","""3,945,000""","""3,939,000""","""3,929,000""","""3,918,661""","""3,914,933""","""3,913,927""","""3,909,495""","""3,903,797""","""3,895,386""","""3,886,643""","""3,879,533""","""3,871,103""","""3,946,465""","""3,936,359""","""3,929,873""","""3,925,123""","""3,924,505""","""3,924,408""","""3,927,427""","""3,934,233"""
6,9개도,9개도,9개도,9개도,"""2,646,000""","""2,646,000""","""2,645,000""","""2,642,000""","""2,637,000""","""2,628,000""","""2,615,000""","""2,602,000""","""2,589,000""","""2,578,000""","""2,568,000""","""2,554,000""","""2,541,000""","""2,533,000""","""2,528,000""","""2,530,000""","""2,536,000""","""2,538,000""","""2,535,000""","""2,531,000""","""2,533,000""","""2,544,000""","""2,551,000""","""2,558,000""","""2,580,000""","""2,589,000""","""2,600,000""","""2,602,000""","""2,603,000""","""2,603,000""","""2,605,000""","""2,609,000""","""2,621,000""","""2,633,000""","""2,641,000""","""2,648,000""","""2,648,000""","""2,657,000""","""2,669,000""","""2,687,000""","""2,700,000""","""2,714,000""","""2,803,000""","""2,813,000""","""2,824,000""","""2,836,000""","""2,846,000""","""2,851,000""","""2,853,000""","""2,853,000""","""2,851,000""","""2,850,000""","""2,849,000""","""2,849,000""","""2,849,000""","""2,850,000""","""2,862,000""","""2,864,000""","""2,867,000""","""2,866,000""","""2,865,000""","""2,865,000""","""2,865,000""","""2,865,000""","""2,867,000""","""2,869,000""","""2,872,000""","""2,880,000""","""2,882,000""","""2,884,000""","""2,885,000""","""3,079,000""","""3,081,000""","""3,088,000""","""3,093,000""","""3,095,000""","""3,092,000""","""3,088,000""","""3,083,000""","""3,079,000""","""3,093,000""","""3,103,000""","""3,107,000""","""3,101,000""","""3,276,000""","""3,267,000""","""3,256,000""","""3,237,000""","""3,223,000""","""3,213,000""","""3,207,000""","""3,205,000""","""3,207,000""","""3,212,000""","""3,223,000""","""3,245,000""","""3,388,000""","""3,421,000""","""3,472,000""","""3,499,000""","""3,512,000""","""3,540,000""","""3,584,000""","""3,618,000""","""3,646,000""","""3,661,000""","""3,697,000""","""3,753,000""","""3,808,000""","""3,881,000""","""3,936,000""","""3,989,000""","""4,037,000""","""4,123,000""","""4,786,000""","""4,872,000""","""4,945,000""","""5,015,000""","""5,057,000""","""5,073,000""","""5,075,000""","""5,072,000""","""5,065,000""","""5,061,000""","""5,056,000""","""5,048,000""","""5,033,000""","""4,998,000""","""4,949,000""","""4,876,000""","""4,759,000""","""4,593,000""","""4,455,000""","""4,363,000""","""4,310,000""","""4,281,000""","""4,276,000""","""4,281,000""","""4,295,000""","""4,314,000""","""4,342,000""","""4,364,000""","""4,370,000""","""4,364,000""","""4,410,000""","""4,399,000""","""4,389,000""","""4,386,000""","""4,385,000""","""4,392,000""","""4,406,868""","""4,429,386""","""4,448,763""","""4,457,842""","""4,461,738""","""4,461,305""","""4,455,962""","""4,451,881""","""4,453,340""","""4,519,778""","""4,522,679""","""4,533,621""","""4,550,310""","""4,557,745""","""4,568,629""","""4,603,191""","""4,632,226"""
7,8개도,8개도,8개도,8개도,"""1,827,000""","""1,831,000""","""1,838,000""","""1,843,000""","""1,844,000""","""1,843,000""","""1,840,000""","""1,840,000""","""1,840,000""","""1,841,000""","""1,840,000""","""1,836,000""","""1,835,000""","""1,834,000""","""1,835,000""","""1,839,000""","""1,844,000""","""1,846,000""","""1,848,000""","""1,848,000""","""1,851,000""","""1,857,000""","""1,863,000""","""1,869,000""","""1,886,000""","""1,891,000""","""1,895,000""","""1,899,000""","""1,902,000""","""1,905,000""","""1,909,000""","""1,912,000""","""1,917,000""","""1,924,000""","""1,930,000""","""1,936,000""","""1,943,000""","""1,947,000""","""1,952,000""","""1,958,000""","""1,962,000""","""1,966,000""","""2,058,000""","""2,062,000""","""2,067,000""","""2,070,000""","""2,074,000""","""2,077,000""","""2,077,000""","""2,077,000""","""2,075,000""","""2,072,000""","""2,069,000""","""2,064,000""","""2,058,000""","""2,055,000""","""2,061,000""","""2,059,000""","""2,056,000""","""2,054,000""","""2,052,000""","""2,050,000""","""2,049,000""","""2,046,000""","""2,043,000""","""2,039,000""","""2,035,000""","""2,031,000""","""2,027,000""","""2,023,000""","""2,016,000""","""2,146,000""","""2,139,000""","""2,133,000""","""2,128,000""","""2,120,000""","""2,108,000""","""2,098,000""","""2,089,000""","""2,076,000""","""2,067,000""","""2,057,000""","""2,049,000""","""2,039,000""","""2,144,000""","""2,136,000""","""2,128,000""","""2,119,000""","""2,110,000""","""2,101,000""","""2,092,000""","""2,083,000""","""2,075,000""","""2,069,000""","""2,067,000""","""2,068,000""","""2,103,000""","""2,107,000""","""2,110,000""","""2,111,000""","""2,111,000""","""2,123,000""","""2,142,000""","""2,156,000""","""2,166,000""","""2,173,000""","""2,190,000""","""2,229,000""","""2,254,000""","""2,273,000""","""2,288,000""","""2,306,000""","""2,324,000""","""2,354,000""","""2,591,000""","""2,619,000""","""2,645,000""","""2,679,000""","""2,705,000""","""2,718,000""","""2,725,000""","""2,729,000""","""2,732,000""","""2,735,000""","""2,737,000""","""2,737,000""","""2,734,000""","""2,721,000""","""2,707,000""","""2,683,000""","""2,643,000""","""2,589,000""","""2,546,000""","""2,520,000""","""2,501,000""","""2,488,000""","""2,481,000""","""2,477,000""","""2,477,000""","""2,479,000""","""2,484,000""","""2,490,000""","""2,492,000""","""2,490,000""","""2,520,000""","""2,516,000""","""2,512,000""","""2,509,000""","""2,509,000""","""2,508,000""","""2,508,346""","""2,509,976""","""2,511,195""","""2,512,402""","""2,512,005""","""2,508,571""","""2,505,176""","""2,503,350""","""2,500,789""","""2,553,022""","""2,549,260""","""2,548,173""","""2,548,535""","""2,548,723""","""2,550,243""","""2,552,916""","""2,558,126"""
